name,city,country,code,latitude,longitude
Goroka Airport,Goroka,Papua New Guinea,GKA,-6.081689834590001,145.391998291
Madang Airport,Madang,Papua New Guinea,MAG,-5.20707988739,145.789001465
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,-5.826789855957031,144.29600524902344
Nadzab Airport,Nadzab,Papua New Guinea,LAE,-6.569803,146.725977
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,-9.443380355834961,147.22000122070312
Wewak International Airport,Wewak,Papua New Guinea,WWK,-3.58383011818,143.669006348
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,61.1604995728,-45.4259986877
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,64.19090271,-51.6781005859
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,67.0122218992,-50.7116031647
Thule Air Base,Thule,Greenland,THU,76.5311965942,-68.7032012939
Akureyri Airport,Akureyri,Iceland,AEY,65.66000366210938,-18.07270050048828
Egilsstaðir Airport,Egilsstadir,Iceland,EGS,65.2833023071289,-14.401399612426758
Hornafjörður Airport,Hofn,Iceland,HFN,64.295601,-15.2272
Húsavík Airport,Husavik,Iceland,HZK,65.952301,-17.426001
Ísafjörður Airport,Isafjordur,Iceland,IFJ,66.05809783935547,-23.135299682617188
Keflavik International Airport,Keflavik,Iceland,KEF,63.985000610352,-22.605600357056
Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,65.555801,-23.965
Reykjavik Airport,Reykjavik,Iceland,RKV,64.1299972534,-21.9405994415
Siglufjörður Airport,Siglufjordur,Iceland,SIJ,66.133301,-18.9167
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,63.42430114746094,-20.278900146484375
Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,46.48500061035156,-84.5093994140625
Winnipeg / St. Andrews Airport,Winnipeg,Canada,YAV,50.0564002991,-97.03250122070001
Halifax / CFB Shearwater Heliport,Halifax,Canada,YAW,44.6397018433,-63.499401092499994
St. Anthony Airport,St. Anthony,Canada,YAY,51.3918991089,-56.083099365200006
Tofino / Long Beach Airport,Tofino,Canada,YAZ,49.079833,-125.775583
Kugaaruk Airport,Pelly Bay,Canada,YBB,68.534401,-89.808098
Baie Comeau Airport,Baie Comeau,Canada,YBC,49.13249969482422,-68.20439910888672
CFB Bagotville,Bagotville,Canada,YBG,48.33060073852539,-70.99639892578125
Baker Lake Airport,Baker Lake,Canada,YBK,64.29889678960001,-96.077796936
Campbell River Airport,Campbell River,Canada,YBL,49.950801849365234,-125.27100372314453
Brandon Municipal Airport,Brandon,Canada,YBR,49.91,-99.951897
Cambridge Bay Airport,Cambridge Bay,Canada,YCB,69.1081008911,-105.138000488
Nanaimo Airport,Nanaimo,Canada,YCD,49.054970224899996,-123.869862556
Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,49.2963981628,-117.632003784
Miramichi Airport,Chatham,Canada,YCH,47.007801,-65.449203
Charlo Airport,Charlo,Canada,YCL,47.990799,-66.330299
Kugluktuk Airport,Coppermine,Canada,YCO,67.81670379639999,-115.143997192
Coronation Airport,Coronation,Canada,YCT,52.0750007629,-111.444999695
Chilliwack Airport,Chilliwack,Canada,YCW,49.1528015137,-121.939002991
Clyde River Airport,Clyde River,Canada,YCY,70.4860992432,-68.5167007446
Coral Harbour Airport,Coral Harbour,Canada,YZS,64.1932983398,-83.3593978882
Dawson City Airport,Dawson,Canada,YDA,64.04309844970703,-139.1280059814453
Burwash Airport,Burwash,Canada,YDB,61.37110137939453,-139.04100036621094
Princeton Airport,Princeton,Canada,YDC,49.4681015015,-120.511001587
Deer Lake Airport,Deer Lake,Canada,YDF,49.21080017089844,-57.39139938354492
Dease Lake Airport,Dease Lake,Canada,YDL,58.4221992493,-130.031997681
Dauphin Barker Airport,Dauphin,Canada,YDN,51.100799560546875,-100.052001953125
Dawson Creek Airport,Dawson Creek,Canada,YDQ,55.7422981262207,-120.18299865722656
Edmonton International Airport,Edmonton,Canada,YEG,53.309700012200004,-113.580001831
Arviat Airport,Eskimo Point,Canada,YEK,61.0942001343,-94.07080078119999
Estevan Airport,Estevan,Canada,YEN,49.2103004456,-102.966003418
Edson Airport,Edson,Canada,YET,53.578899383499994,-116.464996338
Eureka Airport,Eureka,Canada,YEU,79.9946975708,-85.814201355
Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,68.30419921880001,-133.483001709
Iqaluit Airport,Iqaluit,Canada,YFB,63.756401062,-68.5558013916
Fredericton Airport,Fredericton,Canada,YFC,45.868900299072266,-66.53720092773438
Forestville Airport,Forestville,Canada,\N,48.74610137939453,-69.09719848632812
Flin Flon Airport,Flin Flon,Canada,YFO,54.6781005859375,-101.68199920654297
Fort Resolution Airport,Fort Resolution,Canada,YFR,61.1808013916,-113.690002441
Fort Simpson Airport,Fort Simpson,Canada,YFS,61.76020050048828,-121.23699951171875
Kingston Norman Rogers Airport,Kingston,Canada,YGK,44.22529983520508,-76.5969009399414
La Grande Rivière Airport,La Grande Riviere,Canada,YGL,53.625301361083984,-77.7042007446289
Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,48.7752990723,-64.4785995483
Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,49.77830123901367,-86.93939971923828
Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,47.42470169067383,-61.778099060058594
Hudson Bay Airport,Hudson Bay,Canada,YHB,52.8166999817,-102.310997009
Dryden Regional Airport,Dryden,Canada,YHD,49.83169937133789,-92.74420166015625
Ulukhaktok Holman Airport,Holman Island,Canada,YHI,70.76280212402344,-117.80599975585938
Gjoa Haven Airport,Gjoa Haven,Canada,YHK,68.635597229,-95.84970092770001
John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,43.173599243199995,-79.93499755859999
Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,45.5175018311,-73.4169006348
Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,60.8396987915,-115.782997131
Halifax / Stanfield International Airport,Halifax,Canada,YHZ,44.8807983398,-63.5085983276
Atikokan Municipal Airport,Atikokan,Canada,YIB,48.7738990784,-91.6386032104
Pond Inlet Airport,Pond Inlet,Canada,YIO,72.6832962036,-77.9666976929
St Jean Airport,St. Jean,Canada,YJN,45.29439926147461,-73.28109741210938
Stephenville Airport,Stephenville,Canada,YJT,48.5442008972168,-58.54999923706055
